,Envirnmoment,Windows 10,,
,Test date,20.06.2021,,
,Tester,Alexandra Shaikina,,
Field name,Requirements,,,
Form structure,"1. Name of the form abowe the page
2. All fields are required except Email and must have  ""*"" beside the name of the field
3. Button Submit is tappable
4. Button Submit is green
5. Button Submit is in the middle under the form
6. The field gets highlighted, when click on it
7. When registration success under the form info message is green
8. When registration is failed, under the form info message is red
9. Language: latin
",,,
Name,"1. Strokes (text field)
2. Specific symbol .-_"""":! allowed
3. Required field
4. Between 1-128 Characters
5. Language latin
6. No space before and after text in field
7. Space between two words allowed
8. First stroke upper register
9. Input over Ctrl.V
10. Numbers 1-0",,,
Surname,"1. Strokes (text field)
2.Specific symbol .-_"""":! allowed between
3. Required field
4. Between1-128 Characters
5. Language latin
6. No space before and after text in field
7. Space between two words allowed
8. First stroke upper register
9. Input over Ctrl.V
10. Numbers 1-0
",,,
Email,"1.Required parts of the valid email address:  Recipient name@domain.name  2. Uppercase and lowercase letters in English (A-Z, a-z) 3. Digits from 0 to 9. 4. A hyphen (-) 5. A period (.) (used to identify a sub-domain; for example, email. domainsample) 6. Space before, after and between all elements email not allowed 7. Between 10-256 Characters 8. Not required field 9.Cyrilic strokes 10. Input over Cntrl.V 11. Unique email address ",,,
Password,"1. Between 5-32 Characters
2. At least 1 Upper-Case Letter.
3. At least 1 Lower-Case Letter.
4. At least 1 Number.
5. At least 1 Special Character.
6. No space allowed
7. Language Latin
8. Input over Cntrl.V

9. Special Characters @?!,.:",,,
,Filed name : Name,,,
№,Title,inputs,ER,Status
1,Не заполняем поле name. Остальные поля заполнены валидными значениями. Нажимаем кнопку Submit.,"--------, ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
2,"Пишем слово ""Слон"". Остальные поля заполнены валидными значениями. Нажимаем кнопку submit.","Слон,  ivanov, shhiva@gmail.com, 1235464",Появляется приветсвенное сообщение об успешной регистрации под полем password,
3,Заполнение формы с пробелами.,"--Shh-iva--,ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
4,Минимально допустимое количество символов.,"S,  ivanov, shhiva@gmail.com, 1235464",Появляется сообщение об ошибке под полем password,
